Acquisitions ID,Acquired Company,Acquiring Company,Year of acquisition announcement,Deal announced on,Price,Status,Terms,Acquisition Profile,News,News Link
Facebook acquired Glancee in 2012,Glancee,Facebook,2012,4/05/2012,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/2f3c243f8a2b79928df75175850d2f91,Facebook Buys Location-Based Discovery App Glancee | TechCrunch,http://techcrunch.com/2012/05/04/facebook-buys-location-based-discovery-app-glancee/
Facebook acquired Gowalla in 2011,Gowalla,Facebook,2011,2/12/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/44da2d7ddf97f1e3e3c6c5c4212f5b35,Facebook Has Acquired Gowalla | TechCrunch,http://techcrunch.com/2011/12/02/report-facebook-has-acquired-gowalla/
Facebook acquired Hot Potato in 2010,Hot Potato,Facebook,2010,28/07/2010,"$10,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/51be4197929a8907853063220a7cd2e8,Facebook To Pay $10 Million Cash For Hot Potato Says Source | TechCrunch,http://techcrunch.com/2010/07/28/facebook-to-pay-10-million-cash-for-hot-potato-says-source/
Facebook acquired Instagram in 2012,Instagram,Facebook,2012,9/04/2012,"$1,000,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/827053e560f7d36c5ca9abe34e27ca92,Facebook Buys Instagram For $1 Billion Turns Budding Rival Into Its Standalone Photo App | TechCrunch,http://techcrunch.com/2012/04/09/facebook-to-acquire-instagram-for-1-billion/
Facebook acquired Jibbigo in 2013,Jibbigo,Facebook,2013,12/08/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/8b4041b6c273e0c9cd2b78ba50ec50b2,Facebook Acquires “Mobile Technologies” Developer Of Speech Translation App Jibbigo | TechCrunch,http://techcrunch.com/2013/08/12/facebook-acquires-mobile-technologies-speech-recognition-and-jibbigo-app-developer/
Facebook acquired Karma in 2012,Karma,Facebook,2012,18/05/2012,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/43eb0c1a2b97ce7772b3e680c2be4ef7,Facebook Acquires Karma,http://www.fastcompany.com/1837882/facebook-acquires-karma
Facebook acquired Lightbox in 2012,Lightbox,Facebook,2012,15/05/2012,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/17520be1b835b674e02b63861a3076ee,Facebook acquires Lightbox photo app team - Neowin,http://www.neowin.net/news/facebook-acquires-lightbox-photo-app-team
Facebook acquired Little Eye Labs in 2014,Little Eye Labs,Facebook,2014,8/01/2014,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/41b0f7279bc84cdbe43e62edd17ce011,Indian Startup Little Eye Labs Confirms Its Acquisition By Facebook Deal Worth $10-$15M | TechCrunch,http://techcrunch.com/2014/01/07/little-eye-labs-acquisition/
Facebook acquired LiveRail in 2014,LiveRail,Facebook,2014,2/07/2014,"$500,000,000",Complete,Undisclosed,http://www.crunchbase.com/acquisition/860a1cf3033ea1c3d16df80053360021,"Facebook’s $400M-$500M Acquisition Of Video Ad Tech Startup LiveRail Is Now Official | TechCrunch, Facebook Acquires LiveRail For $400M To $500M To Serve Video Ads Everywhere Improve Its Own | TechCrunch","http://techcrunch.com/2014/08/14/facebooks-400m-500m-acquisition-of-video-ad-tech-startup-liverail-is-now-official/, http://techcrunch.com/2014/07/02/facebook-liverail/"
Facebook acquired Monoidics in 2013,Monoidics,Facebook,2013,18/07/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/3ddccff47da4b2257fddbb1bccd350c3,Facebook Acquires Assets Of UK Mobile Bug-Checking Software Developer Monoidics | TechCrunch,http://techcrunch.com/2013/07/18/facebook-monoidics/
Facebook acquired Nextstop in 2010,Nextstop,Facebook,2010,25/09/2010,"$2,500,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/d5f31999a994294fcfcaef3e5e85835b,Facebook Acquires Social Travel Recommendation Site Nextstop | TechCrunch,http://techcrunch.com/2010/07/08/facebook-acquires-social-travel-recommendation-site-nextstop/
Facebook acquired Octazen Solutions in 2010,Octazen Solutions,Facebook,2010,19/02/2010,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/d52ac44d83aff0c15973486132abbb43,Octazen: What The Heck Did Facebook Just Buy Exactly And Why? | TechCrunch,http://techcrunch.com/2010/02/19/octazen-what-the-heck-did-facebook-just-buy-exactly-and-why/
Facebook acquired Oculus VR in 2014,Oculus VR,Facebook,2014,25/03/2014,"$2,000,000,000",Complete,"Cash, Stock",http://www.crunchbase.com/acquisition/303575981d0f4b58e76d07d2225656a7,"Facebook’s $2 Billion Acquisition Of Oculus Closes Now Official | TechCrunch, Facebook To Buy Oculus VR Maker Of The Rift Headset For Around $2B In Cash And Stock | TechCrunch, Facebook Bought Oculus VR To Create The Metaverse Or Why Angry Kickstarter Backers Need To Chill | TechCrunch","http://techcrunch.com/2014/07/21/facebooks-acquisition-of-oculus-closes-now-official/, http://techcrunch.com/2014/03/25/facebook-to-buy-oculus-vr-maker-of-the-rift-headset-for-around-2b-in-cash-and-stock/, http://techcrunch.com/2014/03/28/facebook-bought-oculus-vr-to-create-the-metaverse-or-why-angry-kickstarter-backers-need-to-chill/"
Facebook acquired Onavo in 2013,Onavo,Facebook,2013,14/10/2013,"$150,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/8d5e65e6a2bd1e2c8cd427cc2cc22ff6,Facebook Buys Mobile Data Analytics Company Onavo Reportedly For Up To $200M… And (Finally?) Gets Its Office In Israel | TechCrunch,http://techcrunch.com/2013/10/13/facebook-buys-mobile-analytics-company-onavo-and-finally-gets-its-office-in-israel/?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=Feed%3A+Techcrunch+%28TechCrunch%29
Facebook acquired Osmeta in 2013,Osmeta,Facebook,2013,11/04/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/0d3ed773c73525b7a2b45f22f9936b2b,Confirmed: Facebook Has Acquired Osmeta A Stealth Mobile Software Startup | TechCrunch,http://techcrunch.com/2013/04/10/has-facebook-quietly-acquired-osmeta-a-stealth-mobile-software-startup/
Facebook acquired Parakey in 2007,Parakey,Facebook,2007,1/07/2007,Undisclosed amount,Undisclosed,Cash,http://www.crunchbase.com/acquisition/2380a2edc0ea26f43f93764321069ce8,FaceBook's First Acquisition: Parakey | TechCrunch,http://techcrunch.com/2007/07/19/breaking-facebook-has-acquired-parakey/
Facebook acquired Parse in 2013,Parse,Facebook,2013,25/04/2013,"$90,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/73bedb00043ee3c6903135eee2cf6a8c,Facebook Buys Parse To Offer Mobile Development Tools As Its First Paid B2B Service | TechCrunch,http://techcrunch.com/2013/04/25/facebook-parse/
Facebook acquired PrivateCore in 2014,PrivateCore,Facebook,2014,7/08/2014,Undisclosed amount,Complete,Undisclosed,http://www.crunchbase.com/acquisition/7a3d7915ed43073c0e4b5b0d7601def8,Facebook Buys Secure Server Technology Provider PrivateCore | TechCrunch,http://techcrunch.com/2014/08/07/facebook-buys-secure-server-technology-provider-privatecore/
Facebook acquired ProtoGeo in 2014,ProtoGeo,Facebook,2014,24/04/2014,Undisclosed amount,Complete,Undisclosed,http://www.crunchbase.com/acquisition/4df44121b85506d48cb99994c2be8b7a,Facebook buys fitness tracker startup behind Moves,http://www.mercurynews.com/business/ci_25630501/facebook-buys-fitness-tracker-startup-behind-moves?source=rss
Facebook acquired Pryte in 2014,Pryte,Facebook,2014,3/06/2014,Undisclosed amount,Complete,Undisclosed,http://www.crunchbase.com/acquisition/b860fe10da9028944ec9f2108c64856b,Facebook Acquires Mobile Data Startup Pryte,http://www.pcmag.com/article2/02817245891800.asp
Facebook acquired Pursuit in 2011,Pursuit,Facebook,2011,3/07/1905,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/890d33793771d88870922a72bb4d188c,Facebook Nabs Founders Of Career Recruiting Service Pursuit | TechCrunch,http://techcrunch.com/2011/02/25/pursuit/
Facebook acquired Push Pop Press in 2011,Push Pop Press,Facebook,2011,2/08/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/6f812ed8d46a422416b864e65d2c1862,Facebook Buys Digital Bookmaking Service Push Pop Press | TechCrunch,http://techcrunch.com/2011/08/02/facebook-buys-digital-bookmaking-service-push-pop-press/
Facebook acquired Rel8tion in 2011,Rel8tion,Facebook,2011,25/01/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/41b73fb430749974d7066bfb61611da6,Facebook Acquires Mobile Advertising Company Out of Stealth Mode,http://allthingsd.com/20110125/facebook-acquires-mobile-advertising-company-out-of-stealth-mode/
Facebook acquired Sendoid in 2012,Sendoid,Facebook,2012,1/03/2012,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/75be1a7b86286b5812ae825f7d1a2894,Facebook acquires team behind YC alum Caffeinated Mind,http://venturebeat.com/2012/02/29/facebook-caffeinated-mind/
Facebook acquired ShareGrove in 2010,ShareGrove,Facebook,2010,1/05/2010,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/34c970af6d706e9a97054e11c7ecd849,Facebook Acquires Private Content-Sharing Startup Sharegrove,http://mashable.com/2010/05/26/facebook-acquires-sharegrove/
Facebook acquired Snaptu in 2011,Snaptu,Facebook,2011,17/09/2011,"$70,000,000",Complete,Cash,http://www.crunchbase.com/acquisition/04c03f5b26f0eef4d71a3378a7305793,Confirmed: Facebook Acquires Snaptu (For An Estimated $60 – $70 Million) | TechCrunch,http://techcrunch.com/2011/03/20/facebook-reportedly-acquires-snaptu-for-an-estimated-60-70-million/
Facebook acquired Sofa in 2011,Sofa,Facebook,2011,9/06/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/116d0c553759b62c1ceaa07ec787b51f,Facebook acquired Sofa,http://www.madebysofa.com/blog/facebook-acquires-sofa/
Facebook acquired Spaceport.io in 2013,Spaceport.io,Facebook,2013,23/04/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/45f0b913a0f86a3e528f0f7ab1c4a0ae,Facebook Acqhires Team From HTML5 Game Platform Spaceport.io Which Will Keep Running | TechCrunch,http://techcrunch.com/2013/04/23/facebook-acqhires-part-of-team-from-html5-game-platform-spaceport-io-but-co-founder-will-keep-running-it/
Facebook acquired Spool in 2012,Spool,Facebook,2012,1/07/2012,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/b08dbde762e35383543b571f38c11816,Facebook’s Latest Acqui-Hire: Spool The “Instapaper On Steroids” | TechCrunch,http://techcrunch.com/2012/07/14/facebooks-latest-acqui-hire-spool-the-instapaper-on-steroids/
Facebook acquired SportStream in 2013,SportStream,Facebook,2013,17/12/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/cad7d595cc8269fc8edfcb61c23f6167,Facebook Acquires SportStream To Increase Sports Chatter By Providing News Outlets With Cleaner Data | TechCrunch,http://techcrunch.com/2013/12/17/facebook-acquires-sportstream/
Facebook acquired Storylane in 2013,Storylane,Facebook,2013,8/03/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/72903cfd02fc5fc122bcfd88322ce21f,Facebook Acquires Storytelling Site Storylane in Talent Grab,http://mashable.com/2013/03/08/facebook-acquires-storylane/
Facebook acquired Strobe in 2011,Strobe,Facebook,2011,8/11/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/f8b10f7cb003adb0bd67d45397d922fd,Facebook acquired Strobe,http://techcrunch.com/2011/11/08/facebook-acquires-html5-app-delivery-network-strobe-sproutcore-lives-on/
Facebook acquired Tagtile in 2012,Tagtile,Facebook,2012,13/04/2012,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/c6e7c087b81a0192a3f1e54f2515bbfb,"Facebook Ups The Mobile Ante Again, Buys Mobile Loyalty Rewards Startup TagTile | TechCrunch",http://techcrunch.com/2012/04/13/facebook-ups-the-mobile-ante-again-buys-mobile-loyalty-rewards-startup-tagtile/
Facebook acquired threadsy in 2012,threadsy,Facebook,2012,24/08/2012,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/79f2b8ceae6b3d2c3bf8ce63727b9533,Facebook Acquires Threadsy Maker of Social Marketing Tool Swaylo | TechCrunch,http://techcrunch.com/2012/08/24/facebook-threadsy/
Facebook acquired WhatsApp in 2014,WhatsApp,Facebook,2014,19/02/2014,"$19,000,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/90ad2f738079c7c0dffc66cb82487a11,"FacebookWhatsApp | TechCrunch, WhatsApp Acquisition Regulatory Filing, Facebook Buying WhatsApp For $19B Will Keep The Messaging Service Independent | TechCrunch","http://techcrunch.com/tag/facebookwhatsapp/, http://www.sec.gov/Archives/edgar/data/1326801/000132680114000010/form8k_2192014.htm, http://techcrunch.com/2014/02/19/facebook-buying-whatsapp-for-16b-in-cash-and-stock-plus-3b-in-rsus/"
Facebook acquired WhoGlue in 2011,WhoGlue,Facebook,2011,28/11/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/a11082fed7e1c2976671d1d68ed27c99,Facebook Acquires The Tech Behind WhoGlue A Company That Sued It In 2009 | TechCrunch,http://techcrunch.com/2011/11/28/facebook-acquires-the-tech-behind-whoglue-a-company-that-sued-it-in-2009/
Facebook acquired Zenbe in 2010,Zenbe,Facebook,2010,16/11/2010,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/bf141530425e87788aba8bb41971434d,Facebook acquired Zenbe,http://www.businessinsider.com/facebook-zenbe-2010-11
Google acquired @Last Software in 2006,@Last Software,Google,2006,14/03/2006,Undisclosed amount,Undisclosed,Cash,http://www.crunchbase.com/acquisition/c453dcb424334f07cd1e65ff6a35305e,Google acquires @Last Software - CNET News,http://news.cnet.com/Google-acquires-Last-Software/2100-1030_3-6049511.html
Google acquired 2Web Technologies in 2006,2Web Technologies,Google,2006,1/06/2006,Undisclosed amount,Undisclosed,Cash,http://www.crunchbase.com/acquisition/f3cf47a442c4c6019d0d23fdf838c21a,Google acquired 2Web Technologies,http://www.businessreviewonline.com/os/archives/2006/06/google_acquires.html
Google acquired Aardvark in 2010,Aardvark,Google,2010,11/02/2010,"$50,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/5c1840a92c42d4ff2f424e1b5a7d530f,Google Acquires Aardvark For $50 million (Confirmed) | TechCrunch,http://techcrunch.com/2010/02/11/google-acquires-aardvark-for-50-million/
Google acquired Admeld in 2011,Admeld,Google,2011,1/06/2011,"$400,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/4e7652d531e673c839a3d5bee161d77a,Google Acquires AdMeld For $400 Million | TechCrunch,http://techcrunch.com/2011/06/09/google-acquires-admeld-for-400-million/
Google acquired AdMob in 2009,AdMob,Google,2009,9/11/2009,"$750,000,000",Undisclosed,Stock,http://www.crunchbase.com/acquisition/a3108a764f74d50f69085541e2a939fa,Google Acquires AdMob For $750 Million | TechCrunch,http://techcrunch.com/2009/11/09/google-acquires-admob/
Google acquired Adometry By Google in 2014,Adometry By Google,Google,2014,6/05/2014,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/98757f1f868320e98bfc5d04d9201d3e,,
Google acquired Adscape in 2007,Adscape,Google,2007,1/02/2007,"$23,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/9176c29ad4092f45d98761cbb44d62ec,Google acquired Adscape,http://blog.quintura.com/2008/05/22/mangrove-capital-bets-on-russian-in-game-advertising/
Google acquired Agnilux in 2010,Agnilux,Google,2010,20/04/2010,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/23b0c91ad1fa70deb9324be30992af92,Battle Cry? Google Buys Stealth Company Founded By Guys That Spurned Apple | TechCrunch,http://techcrunch.com/2010/04/20/google-agnilux-apple/#ixzz0lhB4jfk6
Google acquired Akwan Information Technologies in 2005,Akwan Information Technologies,Google,2005,17/11/2005,Undisclosed amount,Undisclosed,Cash,http://www.crunchbase.com/acquisition/846b3a42e8a0903f8cd11db9187c32ff,Google Continues International Expansion Opens Offices in Latin America – News announcements – News from Google – Google,http://googlepress.blogspot.com/2005/11/google-continues-international_17.html
Google acquired allPAY in 2005,allPAY,Google,2005,31/12/2005,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/c0b9c5a7a5390250fbf2024ad9933c1b,,
Google acquired Alpental Technologies in 2014,Alpental Technologies,Google,2014,19/06/2014,Undisclosed amount,Complete,Undisclosed,http://www.crunchbase.com/acquisition/f0ccfdb73eec1d0ec1398e3b3cfeaea7,Google quietly acquires Alpental Technologies a start-up led by former Clearwire researchers,http://9to5google.com/2014/06/19/google-quietly-acquires-alpental-technologies-a-start-up-led-by-former-clearwire-researchers/
Google acquired Android in 2012,Android,Google,2012,27/06/2012,"$50,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/75b290124a3e8a3da7689dc6625d9031,Google's Biggest Acquisitions So Far And What They Became,http://www.gizmodo.com.au/2011/08/googles-16-biggest-acquisitions-so-far-and-what-happened-to-them/
Google acquired Angstro in 2010,Angstro,Google,2010,27/08/2010,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/c8571c43120d743848c059759194ed55,Google Buys Angstro As It Furthers Social Strategy | TechCrunch,http://techcrunch.com/2010/08/27/google-buys-angstro-as-it-furthers-social-strategy/
Google acquired Appetas in 2014,Appetas,Google,2014,7/05/2014,Undisclosed amount,Complete,Undisclosed,http://www.crunchbase.com/acquisition/5d0ebb32a17abce87203c1e2e153811c,,
Google acquired AppJet in 2009,AppJet,Google,2009,4/12/2009,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/fc257b46d3cb0e62f51bbbac55b1c96e,Confirmed: Google Acquires AppJet The Maker Of EtherPad | TechCrunch,http://techcrunch.com/2009/12/04/google-acquires-etherpad/
Google acquired Applied Semantics in 2003,Applied Semantics,Google,2003,23/04/2003,"$102,000,000",Undisclosed,"Cash, Stock",http://www.crunchbase.com/acquisition/c12dbcf857a695db47e939ddb4891e44,Google Buys Applied Semantics,http://newsbreaks.infotoday.com/nbreader.asp?ArticleID=16713
Google acquired Appurify in 2014,Appurify,Google,2014,25/06/2014,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/5fcc5723713a8c06b17dbcf8d8c642f5,Google Acquires Mobile Testing Platform Appurify Will Keep It Open On iOS And Android | TechCrunch,http://techcrunch.com/2014/06/25/google-appurify/
Google acquired Apture in 2011,Apture,Google,2011,10/11/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/4c793329ed981175d618c633cea41f78,Google acquired Apture,http://paidcontent.org/article/419-google-takes-two-buys-apture-to-enhance-chrome-katango-to-beef-up-googl/
Google acquired BeatThatQuote.com in 2011,BeatThatQuote.com,Google,2011,7/03/2011,"$61,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/36c865f6a8bcdd6e1a66052c90d759cf,Beat That! Google Acquires The UK's BeatThatQuote.com For £37.7M | TechCrunch,http://techcrunch.com/2011/03/07/beat-that-google-acquires-the-uks-beatthatquote-com-for-37-7m/
Google acquired Behavio in 2013,Behavio,Google,2013,12/04/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/da6432fabc429af81d6a091eb820483b,Google acquired Behavio,http://www.nasdaq.com/article/google-acquires-startup-behavio-analyst-blog-cm238247
Google acquired Bitspin in 2014,Bitspin,Google,2014,4/01/2014,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/9c9d0a3955dc3e7792acb9a577e0869a,Google Acquires Bitspin Makers of Timely - All In-App Purchases are Now Free! | Androidheadlines.com,http://www.androidheadlines.com/2014/01/google-acquires-bitspin-makers-timely-app-purchases-now-free.html?utm_source=dlvr.it&utm_medium=twitter
Google acquired BlindType in 2010,BlindType,Google,2010,1/10/2010,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/a6d1b1c67cf51cb41d235ce66196fcfd,Google Acquires Impressive Touchscreen Keyboard Startup BlindType | TechCrunch,http://techcrunch.com/2010/10/01/google-acquires-impressive-touchscreen-keyboard-startup-blindtype/
Google acquired Boston Dynamics in 2013,Boston Dynamics,Google,2013,13/12/2013,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/e77e328c58ae3b9947b8c24c7cc8f270,Google Buys Boston Dynamics Creator Of Big Dog | TechCrunch,http://techcrunch.com/2013/12/14/google-buys-boston-dynamics-creator-of-big-dog/?utm_source=twitterfeed&utm_medium=twitter&utm_campaign=Feed%3A+Techcrunch+%28TechCrunch%29
Google acquired bruNET in 2005,bruNET,Google,2005,31/12/2005,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/771b39eb1905b872fade3bf1a8994cf9,,
Google acquired BufferBox in 2012,BufferBox,Google,2012,30/11/2012,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/60f2ffd2e80f4e459b711ae01d6f565b,Google Acquires Waterloo-Based E-Commerce Startup Amazon Locker Competitor And YC Graduate BufferBox | TechCrunch,http://techcrunch.com/2012/11/30/google-acquires-waterloo-based-e-commerce-startup-amazon-locker-competitor-and-yc-graduate-bufferbox/
Google acquired Bump Technologies in 2013,Bump Technologies,Google,2013,31/12/2013,"$30,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/bdf15ee5a43ce8e9d9a4a8cdb5bdaf98,Google to Discontinue Sharing App Bump and Flock on Jan. 31 2014 | iPhone in Canada Blog - Canada's #1 iPhone Resource,http://www.iphoneincanada.ca/news/google-discontinue-bump-flock-jan-2014/
Google acquired BumpTop in 2010,BumpTop,Google,2010,2/05/2010,"$35,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/fbb38b3fde3093a9195c9c7e8e789660,Something Is Brewing At BumpTop Possible Google Acquisition (Update: Confirmed) | TechCrunch,http://techcrunch.com/2010/05/02/bumptop-possible-google-acquisition/
Google acquired Channel Intelligence in 2013,Channel Intelligence,Google,2013,6/02/2013,"$125,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/bb8c4624866cc9537f201ec082e1cbdd,Google Acquires Channel Intelligence For $125M To Boost Product Referrals And E-Commerce With Users | TechCrunch,http://techcrunch.com/2013/02/06/google-acquires-channel-intelligence-to-boost-product-recommendations-and-e-commer-with-users/
Google acquired Clever Sense in 2011,Clever Sense,Google,2011,1/12/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/d8855c957fb4eda98b3ba7cf07539b07,Google Acquires Clever Sense Creator Of Local Recommendations App Alfred | TechCrunch,http://techcrunch.com/2011/12/13/google-acquires-clever-sense-creator-of-local-recommendations-app-alfred/
Google acquired DailyDeal in 2011,DailyDeal,Google,2011,19/09/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/3660812fc1da445333ce0049083e6c27,Google Buys German Groupon Clone DailyDeal | TechCrunch,http://techcrunch.com/2011/09/19/google-buys-german-groupon-clone-dailydeal/
Google acquired DeepMind in 2014,DeepMind,Google,2014,26/01/2014,"$500,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/36f4a6499356288bf7ab050e1d3500a6,Google Acquires Artificial Intelligence Startup DeepMind For More Than $500M | TechCrunch,http://techcrunch.com/2014/01/26/google-deepmind/?utm_source=twitterfeed&utm_medium=twitter&utm_campaign=Feed%3A+Techcrunch+%28TechCrunch%29
Google acquired Deja in 2001,Deja,Google,2001,12/02/2001,Undisclosed amount,Undisclosed,Cash,http://www.crunchbase.com/acquisition/03af94035ad5fa184c7fa37cc15f0c8b,Google Acquires Usenet Discussion Service and Significant Assets from Deja.com – News announcements – News from Google – Google,http://googlepress.blogspot.com/2001/02/google-acquires-usenet-discussion.html
Google acquired Directr in 2014,Directr,Google,2014,1/08/2014,Undisclosed amount,Complete,Undisclosed,http://www.crunchbase.com/acquisition/bb4c36eefb3cbf980091e91de9867cc2,Google Acquires Directr An App For Shooting Short Films On Your Phone | TechCrunch,http://techcrunch.com/2014/08/06/google-acquires-directr-an-app-for-shooting-short-films-on-your-phone/
Google acquired Divide in 2014,Divide,Google,2014,20/05/2014,Undisclosed amount,Pending,Undisclosed,http://www.crunchbase.com/acquisition/b17436d2bd3992ea89b5a1e476fd3015,,
Google acquired dMarc Broadcasting in 2006,dMarc Broadcasting,Google,2006,1/01/2006,"$102,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/ed1c3aea84245441d79f5322f1e829d4,Google Buys Into Radio,http://www.clickz.com/clickz/news/1699098/google-buys-into-radio
Google acquired DocVerse in 2009,DocVerse,Google,2009,5/12/2009,"$25,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/cee15ccab25a4062a6fce50d8de36a1c,"Google To Acquire DocVerse, Office War Heats Up | TechCrunch",http://techcrunch.com/2009/12/19/google-to-acquire-docverse-office-war-heats-up/
Google acquired Dodgeball in 2005,Dodgeball,Google,2005,11/05/2005,Undisclosed amount,Undisclosed,Cash,http://www.crunchbase.com/acquisition/513db9ff3a10d311525d71e6fc0a29af,Google Acquires Mobile Social-Networking Company Dodgeball.com - InformationWeek,http://www.informationweek.com/google-acquires-mobile-social-networking-company-dodgeballcom/d/d-id/1032684?
Google acquired DoubleClick in 2008,DoubleClick,Google,2008,11/03/2008,"$3,100,000,000",Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/46301016536ad1ab005a96652814f8a7,We've officially acquired DoubleClick,http://googleblog.blogspot.com/2008/03/weve-officially-acquired-doubleclick.html
Google acquired drawElements in 2014,drawElements,Google,2014,23/07/2014,Undisclosed amount,Pending,Undisclosed,http://www.crunchbase.com/acquisition/0bf70ab0c67c53115a2cc5cd0916ed1c,Google acquires 3D graphics firm drawElements for upwards of $10 million,http://9to5google.com/2014/07/23/google-acquires-3d-graphics-firm-drawelements-for-upwards-of-10-million/
Google acquired eBook Technologies in 2011,eBook Technologies,Google,2011,12/01/2011,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/16bcc30caa6c7e04c554aca917535bb0,Google Acquires eBook Technologies | TechCrunch,http://techcrunch.com/2011/01/12/google-acquires-ebook-technologies/
Google acquired Emu Messenger in 2014,Emu Messenger,Google,2014,6/08/2014,Undisclosed amount,Undisclosed,Undisclosed,http://www.crunchbase.com/acquisition/832aa44dd0d0d22a6a9dcb26f4c798d5,"Google Acquires Emu An IM Client With Siri-Like Intelligence | TechCrunch, Google Gobbles EMU messenger to improve ""hangouts""","http://techcrunch.com/2014/08/06/google-acquires-emu-an-im-client-with-siri-like-intelligence/, http://mobilesyrup.com/2014/08/06/google-gobbles-emu-messenger-to-improve-scope-of-hangouts/"
Google acquired Endoxon in 2006,Endoxon,Google,2006,16/12/2006,"$28,000,000",Undisclosed,Cash,http://www.crunchbase.com/acquisition/97220f867e6aeea7d082533e5971ee88,Google Buys Endoxon,http://googlesystem.blogspot.com/2006/12/google-buys-endoxon.html
